dmr_variable,form_name,cohort,visit,clinical_variable
SubjectCaseInd,InclExclCriteria,at-home-pd,Baseline,NA
SubjectCaseInd,LBD InclusnXclusn,at-home-pd,Baseline,NA
SubjectCaseInd,InclExclCriteria,at-home-pd,12 months,NA
SubjectCaseInd,LBD InclusnXclusn,at-home-pd,12 months,NA
SubjectCaseInd,InclExclCriteria,at-home-pd,24 months,NA
SubjectCaseInd,LBD InclusnXclusn,at-home-pd,24 months,NA
SubjectCaseInd,InclExclCriteria,at-home-pd,36 months,NA
SubjectCaseInd,LBD InclusnXclusn,at-home-pd,36 months,NA
SubjectCaseInd,InclExclCriteria,super-pd,Baseline,cohort
SubjectCaseInd,LBD InclusnXclusn,super-pd,Baseline,cohort
SubjectCaseInd,InclExclCriteria,super-pd,Physician_ON,cohort
SubjectCaseInd,LBD InclusnXclusn,super-pd,Physician_ON,cohort
SubjectCaseInd,InclExclCriteria,super-pd,Physician_OFF,cohort
SubjectCaseInd,LBD InclusnXclusn,super-pd,Physician_OFF,cohort
SiteName,NA,at-home-pd,Baseline,NA
SiteName,NA,at-home-pd,12 months,NA
SiteName,NA,at-home-pd,24 months,NA
SiteName,NA,at-home-pd,36 months,NA
SiteName,NA,super-pd,Baseline,NA
SiteName,NA,super-pd,Physician_ON,NA
SiteName,NA,super-pd,Physician_OFF,NA
AgeVal,NA,at-home-pd,Baseline,NA
AgeVal,NA,at-home-pd,12 months,NA
AgeVal,NA,at-home-pd,24 months,NA
AgeVal,NA,at-home-pd,36 months,NA
AgeVal,NA,super-pd,Baseline,demo_age
AgeVal,NA,super-pd,Physician_ON,demo_age
AgeVal,NA,super-pd,Physician_OFF,demo_age
PDBPLBDInclusnCritCaseSubjTyp,LBD InclusnXclusn,at-home-pd,Baseline,NA
PDBPLBDInclusnCritCaseSubjTyp,LBD InclusnXclusn,at-home-pd,12 months,NA
PDBPLBDInclusnCritCaseSubjTyp,LBD InclusnXclusn,at-home-pd,24 months,NA
PDBPLBDInclusnCritCaseSubjTyp,LBD InclusnXclusn,at-home-pd,36 months,NA
PDBPLBDInclusnCritCaseSubjTyp,LBD InclusnXclusn,super-pd,Baseline,NA
PDBPLBDInclusnCritCaseSubjTyp,LBD InclusnXclusn,super-pd,Physician_ON,NA
PDBPLBDInclusnCritCaseSubjTyp,LBD InclusnXclusn,super-pd,Physician_OFF,NA
GUID,NA,at-home-pd,Baseline,guid
GUID,NA,at-home-pd,12 months,guid
GUID,NA,at-home-pd,24 months,guid
GUID,NA,at-home-pd,36 months,NA
GUID,NA,super-pd,Baseline,guid
GUID,NA,super-pd,Physician_ON,guid
GUID,NA,super-pd,Physician_OFF,guid
SubjectCntrlInd,InclExclCriteria,at-home-pd,Baseline,NA
SubjectCntrlInd,LBD InclusnXclusn,at-home-pd,Baseline,NA
SubjectCntrlInd,InclExclCriteria,at-home-pd,12 months,NA
SubjectCntrlInd,LBD InclusnXclusn,at-home-pd,12 months,NA
SubjectCntrlInd,InclExclCriteria,at-home-pd,24 months,NA
SubjectCntrlInd,LBD InclusnXclusn,at-home-pd,24 months,NA
SubjectCntrlInd,InclExclCriteria,at-home-pd,36 months,NA
SubjectCntrlInd,LBD InclusnXclusn,at-home-pd,36 months,NA
SubjectCntrlInd,InclExclCriteria,super-pd,Baseline,cohort
SubjectCntrlInd,LBD InclusnXclusn,super-pd,Baseline,cohort
SubjectCntrlInd,InclExclCriteria,super-pd,Physician_ON,cohort
SubjectCntrlInd,LBD InclusnXclusn,super-pd,Physician_ON,cohort
SubjectCntrlInd,InclExclCriteria,super-pd,Physician_OFF,cohort
SubjectCntrlInd,LBD InclusnXclusn,super-pd,Physician_OFF,cohort
VisitTypPDBP,NA,at-home-pd,Baseline,Baseline
VisitTypPDBP,NA,at-home-pd,12 months,12 months
VisitTypPDBP,NA,at-home-pd,24 months,24 months
VisitTypPDBP,NA,at-home-pd,36 months,NA
VisitTypPDBP,NA,super-pd,Baseline,Baseline
VisitTypPDBP,NA,super-pd,Physician_ON,NA
VisitTypPDBP,NA,super-pd,Physician_OFF,NA
PDBPLBDInclusnCritCntrlSubjTyp,LBD InclusnXclusn,at-home-pd,Baseline,NA
